Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 5,200,600,"(1, 1, 1, 5)",0.0007,0.0882
Scenario 1,200,700,"(1, 1, 1, 1)",0.0013,0.1197
Scenario 2,200,700,"(5, 1, 1, 1)",0.0015,0.1384
Scenario 3,200,700,"(1, 5, 1, 1)",0.0012,0.1504
Scenario 4,200,700,"(1, 1, 5, 1)",0.0007,0.1059
Scenario 5,200,700,"(1, 1, 1, 5)",0.0012,0.1138
Scenario 1,200,800,"(1, 1, 1, 1)",0.0012,0.1285
Scenario 2,200,800,"(5, 1, 1, 1)",0.0016,0.1605
Scenario 3,200,800,"(1, 5, 1, 1)",0.0006,0.1161
Scenario 4,200,800,"(1, 1, 5, 1)",0.0009,0.1269
Scenario 5,200,800,"(1, 1, 1, 5)",0.0012,0.1281
Scenario 1,200,900,"(1, 1, 1, 1)",0.0012,0.1400
Scenario 2,200,900,"(5, 1, 1, 1)",0.0019,0.1734
Scenario 3,200,900,"(1, 5, 1, 1)",0.0010,0.1403
Scenario 4,200,900,"(1, 1, 5, 1)",0.0009,0.1351
Scenario 5,200,900,"(1, 1, 1, 5)",0.0012,0.1341
Scenario 1,200,1000,"(1, 1, 1, 1)",0.0016,0.1654
Scenario 2,200,1000,"(5, 1, 1, 1)",0.0018,0.2029
Scenario 3,200,1000,"(1, 5, 1, 1)",0.0009,0.1515
Scenario 4,200,1000,"(1, 1, 5, 1)",0.0012,0.1604
Scenario 5,200,1000,"(1, 1, 1, 5)",0.0014,0.1507
Scenario 1,200,2000,"(1, 1, 1, 1)",0.0029,0.3823
Scenario 2,200,2000,"(5, 1, 1, 1)",0.0052,0.7478
Scenario 3,200,2000,"(1, 5, 1, 1)",0.0023,0.3225
Scenario 4,200,2000,"(1, 1, 5, 1)",0.0029,0.3853
Scenario 5,200,2000,"(1, 1, 1, 5)",0.0035,0.3202
Scenario 1,200,3000,"(1, 1, 1, 1)",0.0094,0.9801
Scenario 2,200,3000,"(5, 1, 1, 1)",0.0109,1.8719
Scenario 3,200,3000,"(1, 5, 1, 1)",0.0051,0.6466
Scenario 4,200,3000,"(1, 1, 5, 1)",0.0037,0.5150
Scenario 5,200,3000,"(1, 1, 1, 5)",0.0048,0.5171
Scenario 1,200,4000,"(1, 1, 1, 1)",0.0063,1.0285
Scenario 2,200,4000,"(5, 1, 1, 1)",0.0087,2.0811
Scenario 3,200,4000,"(1, 5, 1, 1)",0.0033,0.6868
Scenario 4,200,4000,"(1, 1, 5, 1)",0.0032,0.6578
Scenario 5,200,4000,"(1, 1, 1, 5)",0.0076,0.8180
Scenario 1,200,5000,"(1, 1, 1, 1)",0.0097,1.6896
Scenario 2,200,5000,"(5, 1, 1, 1)",0.0122,3.3920
Scenario 3,200,5000,"(1, 5, 1, 1)",0.0049,0.9305
Scenario 4,200,5000,"(1, 1, 5, 1)",0.0045,0.9621
Scenario 5,200,5000,"(1, 1, 1, 5)",0.0075,1.0007
Scenario 1,300,10,"(1, 1, 1, 1)",0.0000,0.0021
Scenario 2,300,10,"(5, 1, 1, 1)",0.0000,0.0025
Scenario 3,300,10,"(1, 5, 1, 1)",0.0000,0.0028
Scenario 4,300,10,"(1, 1, 5, 1)",0.0000,0.0022
Scenario 5,300,10,"(1, 1, 1, 5)",0.0000,0.0021
